Plot,Date_coll,Date_weigh,Fruit_type,Num_Seeds,Total_Mass,Notes
86,7/27/2011,7/28/2011,CL,3,0.0121,
58,7/27/2011,7/28/2011,CL,1,0.0047,
86,7/27/2011,7/28/2011,CL,3,0.0141,
86,7/27/2011,7/28/2011,CL,3,0.0082,
177,7/27/2011,7/28/2011,CL,2,0.0069,
145,7/27/2011,7/28/2011,CL,2,0.0074,
138,7/27/2011,7/28/2011,CL,2,0.008,
129,7/27/2011,7/28/2011,CL,3,0.0122,
139,7/27/2011,7/28/2011,CL,3,0.025,
183,7/27/2011,7/28/2011,CL,2,0.009,
70,7/27/2011,7/28/2011,CL,4,0.0106,
70,7/27/2011,7/28/2011,CL,3,0.0105,
58,7/27/2011,7/28/2011,CL,3,0.0083,
190,7/27/2011,7/28/2011,CL,2,0.0069,
179,7/27/2011,7/28/2011,CL,2,0.0108,
176,7/27/2011,7/28/2011,CL,1,0.0067,
176,7/27/2011,7/28/2011,CL,2,0.0175,
176,7/27/2011,7/28/2011,CH,4,0.0179,
176,7/27/2011,7/28/2011,CH,3,0.0235,
139,8/3/2011,8/14/2011,CL,2,0.0019,
138,8/3/2011,8/14/2011,CL,2,0.0101,
129,8/3/2011,8/14/2011,CL,3,0.023,
131,8/3/2011,8/14/2011,CL,2,0.0087,
129,8/3/2011,8/14/2011,CL,1,0.0058,
129,8/3/2011,8/14/2011,CL,3,0.0174,
129,8/3/2011,8/14/2011,CL,2,0.0117,
129,8/3/2011,8/14/2011,CL,1,0.01,
129,8/3/2011,8/14/2011,CL,3,0.019,
129,8/3/2011,8/14/2011,CL,2,0.0082,
128,8/3/2011,8/14/2011,CL,1,0.0058,
128,8/3/2011,8/14/2011,CL,2,0.0077,
127,8/3/2011,8/14/2011,CL,1,0.004,
127,8/3/2011,8/14/2011,CL,2,0.0104,
125,8/3/2011,8/14/2011,CL,2,0.0122,
125,8/3/2011,8/14/2011,CL,3,0.0179,
125,8/3/2011,8/14/2011,CL,2,0.0106,
125,8/3/2011,8/14/2011,CL,2,0.011,
121,8/3/2011,8/14/2011,CL,2,0.0105,
116,8/3/2011,8/14/2011,CL,2,0.009,
116,8/3/2011,8/14/2011,CL,2,0.0085,
110,8/3/2011,8/14/2011,CL,1,0.0076,
107,8/3/2011,8/14/2011,CL,2,0.012,
103,8/3/2011,8/14/2011,CL,1,0.008,
110,8/3/2011,8/14/2011,CL,1,0.0073,
127,8/3/2011,8/14/2011,CL,2,0.015,
91,8/3/2011,8/14/2011,CL,1,0.0054,
184,8/3/2011,8/14/2011,CL,2,0.0062,
184,8/3/2011,8/14/2011,CL,1,0.0028,
184,8/3/2011,8/14/2011,CL,2,0.0043,
176,8/3/2011,8/14/2011,CL,2,0.0115,
176,8/3/2011,8/14/2011,CL,2,0.0066,
195,8/3/2011,8/14/2011,CL,2,0.0079,
171,8/3/2011,8/14/2011,CL,2,0.012,
178,8/3/2011,8/14/2011,CL,1,0.006,
178,8/3/2011,8/14/2011,CL,1,0.0083,
178,8/3/2011,8/14/2011,CL,1,0.0079,
190,8/3/2011,8/14/2011,CL,2,0.0035,
190,8/3/2011,8/14/2011,CL,1,0.0012,
