Plot_Number,Treatment,Robbing,Florivory,Pollination,Early_Season_Anthocyanins,Late_Season_Anthocyanins,Change_in_Anthocyanins,Early_Season_Condensed_Tannins,Late_Season_Condensed_Tannins,Change_in_Condensed_Tannins,Early_Season_Flower_Redness,Late_Season_Flower_Redness,Change_in_Flower_Redness,Flower_Color_Category,Flower_Spur_Length,Flower_Length,Flower_Lip_Height,Flower_Lip_Width,Flower_Opening_Height,Flower_Opening_Width,Flower_Lip_Area,Flower_Opening_Area,Flower_Size_PC1,Average_CH_Fruits_Per_Day,Mature_CH_Fruits_Per_Day,Average_CL_Fruits_Per_Day,Mature_CL_Fruits_Per_Day,Total_Fruits_Per_Day,Total_Mature_Fruits_Per_Day,Proportion_of_Fruits_CH,Ratio_of_CH_to_CL_Fruits,Average_Seeds_Per_CH_Fruit,Average_Seeds_Per_CL_Fruit,Average_CH_Seed_Mass,Average_CL_Seed_Mass,Average_Percent_Leaf_Damage,Average_Herbivore_Density,Average_Herbivore_Richness,Average_Nectar_Volume,Maximum_Plant_Height,Maximum_Number_of_Nodes,Average_CL_Flowers_Per_Day,Average_Leaf_Area,Pollinators_Per_Hour,Robbers_Per_Hour,Thieves_Per_Hour,Proportion_Flowers_Visited_by_Pollinators,Proportion_Flowers_Visited_by_Robbers,Proportion_Flowers_Visited_by_Thieves,Date_of_First_CH_Flower,Total_CH_Flower_Production,Average_CH_Flowers_Per_Day,Average_Percent_Florivory
1,Robbing,Y,N,N,11.61522634,9.115044248,-2.50018209,NA,113.6220472,NA,18.20228512,NA,NA,yellow,8.914,16.508,7.536,13.516,5.5,3.908,103.36632,22.59146,-0.139881815,10,2.142857143,9.714285714,0.428571429,19.71428571,2.571428571,0.507246377,1.029411765,3,1,0.015169231,0.006333333,1,21,2,NA,86,15,1,18.565,20,0,0,0.833333333,0,0,214,117,2.489361702,10
2,PollFlor,N,Y,Y,7.24702381,12.61682243,5.36979862,NA,27.35449735,NA,5.807919128,3.487215303,2.320703825,yellow,9.148333333,18.32166667,7.631666667,13.32166667,6.55,5.203333333,101.8313,37.33358333,0.355625416,12.14285714,3,16.85714286,2.857142857,29,5.857142857,0.418719212,0.720338983,2.333333333,1.105263158,0.012871429,0.005957895,10.5,12,3,NA,74,15,1,18.61833333,4,0,5,0.052631579,0,0.385964912,208,216,4.595744681,9
3,Florivory,N,Y,N,7.578125,9.841772152,2.263647152,48.62068966,49.93243243,-1.31174277,9.499035623,4.182034968,5.317000655,yellow,9.602,17.646,8.796,14.67,6.748,5.262,131.28206,38.12256,1.147165513,15.42857143,0.714285714,10,0.714285714,25.42857143,1.428571429,0.606741573,1.542857143,2.5,1.25,0.016225,0.00805,2.25,7,3,6.173170732,83,16,1.666666667,22.39,20,0,4,0.5,0,0.1,215,152,3.234042553,0
4,Control,N,N,N,6.263636364,3.590909091,-2.672727273,26.19444444,66.79487179,-40.60042735,5.507125607,4.746634556,0.760491052,yellow,8.236666667,16.46666667,8.386666667,15.08,6.49,5.5,132.0569333,37.18656667,0.40168469,4.714285714,1.285714286,13.85714286,1.285714286,18.57142857,2.571428571,0.253846154,0.340206186,2.7,1.888888889,0.01614,0.013022222,0.166666667,4,1,NA,71,15,0.333333333,15.65333333,NA,NA,NA,NA,NA,NA,221,70,1.489361702,0
5,Control,N,N,N,12.59469697,27.0480226,14.45332563,25.12396694,52.05741627,-26.93344933,83.95616173,NA,NA,red,9.439,18.476,8.955,15.501,8.038,5.648,139.15883,50.04414,1.603199822,14.28571429,2.571428571,19.42857143,2.857142857,33.71428571,5.428571429,0.423728814,0.735294118,4,1.9375,0.024,0.01198125,13,9,3,9.557692308,80,16,6,22.93,4,3,7,0.208333333,0.1875,0.395833333,193,178,3.787234043,2
6,Robbing,Y,N,N,13.85964912,10.07337526,-3.786273861,NA,67.06896552,NA,20.60442199,70.08156592,-49.47714393,red,9.873333333,17.83888889,8.635555556,13.17,6.715555556,5.604444444,115.0494778,40.46302222,0.803750101,10.57142857,3,23.14285714,2.428571429,33.71428571,5.428571429,0.313559322,0.456790123,1.842105263,1.071428571,0.009894737,0.006014286,2.166666667,16,3,4.387804878,81,16,1,25.375,0,1,4,0,0.022222222,0.127777778,205,183,3.893617021,0
7,Robbing,Y,N,N,16.3317757,8.070776256,-8.260999445,98.59813084,26.90740741,71.69072343,6.392090611,4.090684722,2.30140589,yellow,9.224,17.798,8.742,14.158,5.086,4.694,127.29952,24.11234,0.891528794,19.14285714,7.142857143,15.28571429,3.714285714,34.42857143,10.85714286,0.556016598,1.252336449,3.431818182,1.7,0.021497727,0.011755,2.083333333,3,2,16.62884615,94,15,0.666666667,27.766,40,0,8,1,0,0.2,219,143,3.042553191,0
8,Pollination,N,N,Y,13.23129252,7.3,-5.931292517,27.67857143,55.48387097,-27.80529954,3.614610207,3.410457299,0.204152908,yellow,9.105,19.5025,10.0275,16.485,5.8875,5.0075,165.742225,29.398275,2.463088188,18.85714286,9.428571429,22.85714286,4.714285714,41.71428571,14.14285714,0.452054795,0.825,3.057692308,1.333333333,0.019878846,0.008095833,4.5,14,3,11.51730769,74,14,0.666666667,22.14166667,0,0,4,0,0,0.142857143,216,245,5.212765957,0
9,Control,N,N,N,13.29501916,0.637254902,-12.65776426,14.88215488,48.06666667,-33.18451179,81.34710432,80.45965704,0.887447286,red,9.86,18.8325,9.605,15.2475,4.945,4.295,147.523875,21.259225,2.015286749,17.71428571,5.571428571,32,6.857142857,49.71428571,12.42857143,0.356321839,0.553571429,3.379310345,1.428571429,0.022241379,0.034133333,3.666666667,17,4,16.36346154,84,16,1.333333333,20.145,0,4,12,0,0.1,0.3,217,159,3.382978723,1
10,Florivory,N,Y,N,11.96551724,14.90196078,2.936443543,15.82010582,6.130434783,9.689671037,5.163817243,3.819963024,1.343854219,yellow,9.523333333,18.57,9.256666667,15.32666667,4.953333333,4.013333333,142.0169333,19.83833333,1.719038294,8.857142857,2.714285714,15.85714286,2,24.71428571,4.714285714,0.358381503,0.558558559,2,1.363636364,0.010180556,0.006881818,3.166666667,17,3,9.144230769,77,17,0,15.73666667,20,0,4,0.833333333,0,0.166666667,229,80,1.70212766,0
11,RobFlor,Y,Y,N,13.87711864,NA,NA,47.64423077,24.03921569,23.60501508,14.99931517,2.489944908,12.50937026,yellow,8.625,17.755,7.76,13.66666667,5.87,4.706666667,101.9696,27.65853333,0.186894776,1.166666667,0,4.5,0.666666667,5.666666667,0.666666667,0.205882353,0.259259259,NA,2,NA,0.0118,2,25,3,7.191463415,88,17,1.333333333,20.01166667,40,0,0,0.833333333,0,0,230,144,3.063829787,0
12,PollRobFlor,Y,Y,Y,4.025894062,6.295289855,2.269395793,23.95,83.85826772,-59.90826772,5.813266925,2.103856693,3.709410232,yellow,10.365,19.71,9.25,15.07,4.355,4.36,141.5779,19.5521,2.27775189,2.833333333,0,5.833333333,0.5,8.666666667,0.5,0.326923077,0.485714286,NA,2.333333333,NA,0.014966667,4.25,14,2,3.7265625,98,15,0.666666667,18.935,12,0,2,0.3,0,0.5,215,99,2.106382979,0
13,RobFlor,Y,Y,N,5.43715847,5.121082621,-0.316075849,47.30769231,34.1025641,13.20512821,9.029216466,3.923032386,5.106184081,yellow,9.576,17.216,8.44,14.898,4.786,3.722,128.66394,18.27864,0.967824901,6.5,0,3.833333333,0.166666667,10.33333333,0.166666667,0.629032258,1.695652174,NA,NA,NA,NA,1.083333333,28,4,3.268292683,93,16,0,16.61833333,16,0,0,0.333333333,0,0,217,167,3.553191489,0
14,Control,N,N,N,9.232804233,12.62323944,3.390435204,25.02994012,70.3030303,-45.27309018,11.2245147,1.608729437,9.615785265,yellow,8.964,18.844,9.824,14.89,6.25,4.88,146.49998,32.56858,1.694161825,5.333333333,0,11.66666667,0.666666667,17,0.666666667,0.31372549,0.457142857,NA,2,NA,0.029275,2.916666667,18,4,NA,81,14,2.333333333,16.03666667,11,0,4,0.507936508,0,0.444444444,210,147,3.127659574,9
